Name,Tons Delivered,Tons Sold,Method,CDR_Link,Company_Link,location,geo_address
Exomad Green,130 012,499 208,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/exomad-green,https://www.exomadgreen.com/,"-17.7790132,-63.21615409999999","Centro Empresarial Torre Link, 6QCM+9GX, Cuarto Anillo, Santa Cruz de la Sierra, Bolivia"
Aperam BioEnergia,71 428,103 313,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/aperam-bioenergia,https://aperambioenergia.com,"-22.9963777,-47.1247353","Av. Mercedez Bens 1420, Distrito Industrial, 13054-750 Campinas, Brazil"
Wakefield Biochar,54 293,54 294,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/wakefield-biochar,https://www.wakefieldbiochar.com/,"30.8336367,-83.2517513","1826 Clay Road, Valdosta, GA 31601, US"
Carboneers,48 129,119 424,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/carboneers,https://www.dutchcarboneers.com/,"52.3977645,5.2582238","J.B. Bakemaweg 54, 1333 LP Almere, Netherlands"
Pacific Biochar,39 659,42 159,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/pacific-biochar,https://pacificbiochar.com/,"38.4428459,-122.676636","3625 Yale Drive Santa Rosa, CA 95405"
Freres Biochar,25 919,25 919,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/freres-biochar,https://frereswood.com/,"44.7718909,-122.6073288","141 14th St., Lyons, OR 97358, US"
CarbonCure,23 191,36 979,Ex-situ Mineralization,https://www.cdr.fyi/supplier/carboncure,https://www.carboncure.com/,"44.7160406,-63.5822284","42 Payzant Ave, Dartmouth, Nova Scotia B3B 1Z6, CA"
Running Tide,22 880,29 568,Marine Biomass Sinking,https://www.cdr.fyi/supplier/running-tide,https://www.runningtide.com/,,Address not found
Varaha,20 130,122 179,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/varaha,https://www.varaha.earth,"28.4846866,77.0946438","1st Floor, Building No. 10, Poorvi Marg, Sector 25, DLF Ph-II, Gurgaon, DLF Ph-II, Haryana, India, 122008"
Planboo,18 516,29 344,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/planboo,https://planboo.eco/,"59.338995,18.0361805","Sankt Eriksgatan, Stockholm, Sweden"
Douglas County Forest Products,13 748,14 061,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/douglascountyforest,http://www.dcfp.com/,"43.2897694,-123.3589392","398 Del Rio Rd. Roseburg, OR 97471"
Oregon Biochar Solutions,11 303,12 003,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/oregon-biochar-solutions,https://www.chardirect.com/,"42.4365165,-122.8497225","2350 Avenue G, White City, Oregon 97503, US"
Vaulted Deep,11 223,165 882,Biomass Direct Storage,https://www.cdr.fyi/supplier/vaulted-deep,https://vaulteddeep.com/,"29.7600771,-95.37011079999999","Houston, TX, US"
Charm Industrial,10 803,308 159,Bio-oil Sequestration,https://www.cdr.fyi/supplier/charm-industrial,https://charmindustrial.com/,"37.747624,-122.4013529","2575 Marin St, San Francisco, CA 94124, United States"
Biochar Life,10 296,11 102,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/biochar-life,https://www.biochar.life/,"40.4918173,-74.4314519","434 Cedar Avenue, Highland Park, N.J. 08904. USA"
Red Trail Energy,10 000,10 000,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/red-trail-energy,https://redtrailenergy.com/,"46.8765018,-102.2909549","3682 Highway 8 South PO Box 11, Richardton, North Dakota 58652, US"
Carbon Sequestration Inc,7 100,7 100,Biomass Direct Storage,https://www.cdr.fyi/supplier/carbon-sequestration-inc,https://www.carbonsequestration-inc.com/,"29.7635897,-95.4601709",4801 Woodway Dr. STE 335W Hou TX 77056
Carbofex,6 486,14 476,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/carbofex,https://www.carbofex.fi/,"61.5052589,23.5539813","Kaarnakatu 1, 37150 Nokia, Finland"
Carbon Cycle,6 198,6 198,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/carbon-cycle,https://carbon-cycle.de/,"49.299277,11.9602422","Schwandorfer Str. 30, 92286 Rieden, Germany"
MASH Makes,5 910,24 761,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/mash-makes,https://www.mashmakes.com/,"55.7227392,12.6063702","Østersøvej 28B, 2150 Nordhavn, Denmark"
Novocarbo,4 863,9 137,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/novocarbo,https://www.novocarbo.com/,"53.5510499,9.9946517","Hermannstraße 40, 20095 Hamburg, DE"
GreenSand,4 200,4 534,Enhanced Weathering,https://www.cdr.fyi/supplier/greensand,https://www.greensand.com/carbonremoval,"52.6996264,5.2897025","Tussen Twee Havens 1, Enkhuizen, Noord-Holland 1601 EM, NL"
UNDO,3 814,40 445,Enhanced Weathering,https://www.cdr.fyi/supplier/undo,https://un-do.com/,"51.5256447,-0.08365299999999999","3rd Floor, 86-90 Paul Street, London, EC2A 4NE"
O.C.O. Technology,3 296,38 724,Ex-situ Mineralization,https://www.cdr.fyi/supplier/oco-technology,https://oco.co.uk/,"52.4517224,0.622966","Norfolk House, High Street, Brandon IP27 0AX, United Kingdom"
Bionero,3 278,7 598,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/bionero,https://www.bionero.de/,"50.021741,11.403142","Industriestr. 9, Thurnau, 95349, DE"
Neustark,3 126,129 410,Ex-situ Mineralization,https://www.cdr.fyi/supplier/neustark,https://www.neustark.com/,"46.93879829999999,7.399523299999999","Freiburgstrasse 251 Berne, CH"
BluSky Carbon,2 963,9 263,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/blusky-carbon,https://bluskycarbon.com/,"41.298857,-72.384585","35 Research Parkway, Old Saybrook, Connecticut 06475"
Carbuna,2 899,2 899,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/carbuna,https://www.linkedin.com/company/carbuna/,"47.9976498,10.1961936","Mendelssohnstraße 2, 87700 Memmingen, Germany"
CharLine,2 858,2 858,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/charline,https://www.char-line.com/,"47.3287652,16.151869","Oberwarter Straße 100, Riedlingsdorf, Burgenland 7422, AT"
Oplandske Bioenergi (OBIO),2 427,2 427,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/oplandske-bio-rudshogda,https://oplandske.no/,"60.9460466,10.6362553","Honnevegen 60, Biri, Oppland 2836, NO"
Bioenergie Frauenfeld,2 206,2 206,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/bioenergie-frauenfeld,https://www.bioenergie-frauenfeld.ch/,"47.5570478,8.873253199999999","Oberwiesenstrasse 124, Frauenfeld, Thurgau 8500, CH"
Inkoh,2 161,10 061,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/inkoh,https://inkoh.swiss,"46.8483738,9.527795099999999",Sägenstrasse 8
Graphyte,2 137,20 872,Biomass Direct Storage,https://www.cdr.fyi/supplier/graphyte,https://graphyte.com/,"35.1485812,-90.0518955","Memphis, TN, USA"
Nordgau,2 022,2 022,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/nordgau,http://nordgau-carbon.de/,"49.5329242,12.1530813","Wernberg-Köblitz, Germany"
Interholco,1 938,1 938,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/interholco,https://www.interholco.com/images/pdfs/INTERHOLCO2/20230915-INTERHOLCO2-BioChar-FAQ.pdf,"47.1894509,8.5155066","Neuhofstrasse 25, 6340 Baar, Switzerland"
Carbon Centric (SOLER Group),1 932,1 932,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/carbon-centric-soler-group,https://carbon-centric.fr/,"48.2660929,4.0800388","2 Rue Gustave Eiffel, 10430 Rosières-près-Troyes"
