Name,Tons Delivered,Tons Sold,Method,CDR_Link
Exomad Green,130 012,499 208,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/exomad-green
Aperam BioEnergia,71 428,103 313,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/aperam-bioenergia
Wakefield Biochar,54 293,54 294,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/wakefield-biochar
Carboneers,48 129,119 424,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/carboneers
Pacific Biochar,39 659,42 159,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/pacific-biochar
Freres Biochar,25 919,25 919,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/freres-biochar
CarbonCure,23 191,36 979,Ex-situ Mineralization,https://www.cdr.fyi/supplier/carboncure
Running Tide,22 880,29 568,Marine Biomass Sinking,https://www.cdr.fyi/supplier/running-tide
Varaha,20 130,122 179,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/varaha
Planboo,18 516,29 344,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/planboo
Douglas County Forest Products,13 748,14 061,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/douglascountyforest
Oregon Biochar Solutions,11 303,12 003,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/oregon-biochar-solutions
Vaulted Deep,11 223,165 882,Biomass Direct Storage,https://www.cdr.fyi/supplier/vaulted-deep
Charm Industrial,10 803,308 159,Bio-oil Sequestration,https://www.cdr.fyi/supplier/charm-industrial
Biochar Life,10 296,11 102,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/biochar-life
Red Trail Energy,10 000,10 000,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/red-trail-energy
Carbon Sequestration Inc,7 100,7 100,Biomass Direct Storage,https://www.cdr.fyi/supplier/carbon-sequestration-inc
Carbofex,6 486,14 476,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/carbofex
Carbon Cycle,6 198,6 198,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/carbon-cycle
MASH Makes,5 910,24 761,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/mash-makes
Novocarbo,4 863,9 137,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/novocarbo
GreenSand,4 200,4 534,Enhanced Weathering,https://www.cdr.fyi/supplier/greensand
UNDO,3 814,40 445,Enhanced Weathering,https://www.cdr.fyi/supplier/undo
O.C.O. Technology,3 296,38 724,Ex-situ Mineralization,https://www.cdr.fyi/supplier/oco-technology
Bionero,3 278,7 598,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/bionero
Neustark,3 126,129 410,Ex-situ Mineralization,https://www.cdr.fyi/supplier/neustark
BluSky Carbon,2 963,9 263,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/blusky-carbon
Carbuna,2 899,2 899,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/carbuna
CharLine,2 858,2 858,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/charline
Oplandske Bioenergi (OBIO),2 427,2 427,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/oplandske-bio-rudshogda
Bioenergie Frauenfeld,2 206,2 206,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/bioenergie-frauenfeld
Inkoh,2 161,10 061,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/inkoh
Graphyte,2 137,20 872,Biomass Direct Storage,https://www.cdr.fyi/supplier/graphyte
Nordgau,2 022,2 022,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/nordgau
Interholco,1 938,1 938,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/interholco
Carbon Centric (SOLER Group),1 932,1 932,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/carbon-centric-soler-group
Bussme Energy,1 899,4 455,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/bussme
NetZero,1 717,1 717,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/netzero
Biokolprodukter,1 503,1 816,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/biokolprodukter
Circular Carbon,1 500,1 500,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/circular-carbon
Echo2,1 451,3 237,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/echo2
American Biocarbon,1 396,1 396,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/americanbiocarbon
Energiewerk Ilg,1 271,1 271,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/energiewerk-Ilg
Ecoera,1 238,2 524,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/ecoera
Ökologische Klärschlammtrocknung Offenhausen GmbH,1 100,2 400,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/okt-offenhausen
Andes,993,7 845,Microbial Mineralization,https://www.cdr.fyi/supplier/andes
Climeworks,973,369 118,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/climeworks
Hjelmsäters Egendom,929,929,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/hjelmsaters
Eion,894,92 093,Enhanced Weathering,https://www.cdr.fyi/supplier/eion
Terra Fertilis | Sylva Fertilis,858,858,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/terrafertillis
Explocom GK SRL,632,642,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/explocom
Husk,613,3 938,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/husk
"Wongphai Co.,Ltd",596,596,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/wongphai
Bordet,528,528,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/bordet
Auen Pflege Dienst APD Flaach,500,500,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/auen-pflege-dienst-apd-flaach
Mati,473,7 187,Enhanced Weathering,https://www.cdr.fyi/supplier/mati
Carbon Hill,467,667,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/carbon-hill
Klimafarmer,423,423,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/klimafarmer
Verora,415,415,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/Verora
V-Grid Energy Systems,411,822,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/v-grid-energy-systems
Pyrocal,409,1 024,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/pyrocal
Corigin Solutions,394,394,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/corigin-solutions
Premier Forest,325,325,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/premier-forest
Jeffries Group,324,324,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/jeffries-group
Alcom Carbon Markets,281,281,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/alcom-carbon-markets
BLOCK Bio Innovationen GmbH & Co. KG,262,1 000,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/block-pflanzenkohle
Sonnenerde,256,671,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/sonnenerde
Carbon Capture Inc.,237,91 186,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/carbon-capture
Gekka Biochar,205,205,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/gekka-biochar
Everest Carbon,175,185,Enhanced Weathering,https://www.cdr.fyi/supplier/everest-carbon
Project Vesta,154,4 291,Enhanced Weathering,https://www.cdr.fyi/supplier/project-vesta
Planetary,153,3 216,Ocean Alkalinity Enhancement,https://www.cdr.fyi/supplier/planetary
InPlanet,141,5 982,Enhanced Weathering,https://www.cdr.fyi/supplier/inplanet
"Restoration Fuels, LLC",137,137,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/restoration-fuels
