name,geo_address,tons_delivered,method
Exomad Green,"Centro Empresarial Torre Link, 6QCM+9GX, Cuarto Anillo, Santa Cruz de la Sierra, Bolivia",132794,Biochar Carbon Removal (BCR)
Aperam BioEnergia,"Av. Mercedez Bens 1420, Distrito Industrial, 13054-750 Campinas, Brazil",71428,Biochar Carbon Removal (BCR)
Wakefield Biochar,"1826 Clay Road, Valdosta, GA 31601, US",54293,Biochar Carbon Removal (BCR)
Carboneers,"J.B. Bakemaweg 54, 1333 LP Almere, Netherlands",48129,Biochar Carbon Removal (BCR)
Pacific Biochar,"3625 Yale Drive Santa Rosa, CA 95405",39659,Biochar Carbon Removal (BCR)
Freres Biochar,"141 14th St., Lyons, OR 97358, US",25919,Biochar Carbon Removal (BCR)
CarbonCure,"42 Payzant Ave, Dartmouth, Nova Scotia B3B 1Z6, CA",23191,Ex-situ Mineralization
Running Tide,Address not found,22880,Marine Biomass Sinking
Varaha,"1st Floor, Building No. 10, Poorvi Marg, Sector 25, DLF Ph-II, Gurgaon, DLF Ph-II, Haryana, India, 122008",20130,Biochar Carbon Removal (BCR)
Planboo,"Sankt Eriksgatan, Stockholm, Sweden",18654,Biochar Carbon Removal (BCR)
Douglas County Forest Products,"398 Del Rio Rd. Roseburg, OR 97471",13748,Biochar Carbon Removal (BCR)
Oregon Biochar Solutions,"2350 Avenue G, White City, Oregon 97503, US",11303,Biochar Carbon Removal (BCR)
Vaulted Deep,"Houston, TX, US",11275,Biomass Direct Storage
Charm Industrial,"2575 Marin St, San Francisco, CA 94124, United States",10803,Bio-oil Sequestration
Biochar Life,"434 Cedar Avenue, Highland Park, N.J. 08904. USA",10296,Biochar Carbon Removal (BCR)
Red Trail Energy,"3682 Highway 8 South PO Box 11, Richardton, North Dakota 58652, US",10000,Bioenergy with Carbon Capture and Storage (BECCS)
Carbon Sequestration Inc,4801 Woodway Dr. STE 335W Hou TX 77056,7100,Biomass Direct Storage
Carbofex,"Kaarnakatu 1, 37150 Nokia, Finland",6486,Biochar Carbon Removal (BCR)
Carbon Cycle,"Schwandorfer Str. 30, 92286 Rieden, Germany",6198,Biochar Carbon Removal (BCR)
MASH Makes,"Østersøvej 28B, 2150 Nordhavn, Denmark",5910,Biochar Carbon Removal (BCR)
Novocarbo,"Hermannstraße 40, 20095 Hamburg, DE",4863,Biochar Carbon Removal (BCR)
GreenSand,"Tussen Twee Havens 1, Enkhuizen, Noord-Holland 1601 EM, NL",4200,Enhanced Weathering
UNDO,"3rd Floor, 86-90 Paul Street, London, EC2A 4NE",3814,Enhanced Weathering
O.C.O. Technology,"Norfolk House, High Street, Brandon IP27 0AX, United Kingdom",3296,Ex-situ Mineralization
Bionero,"Industriestr. 9, Thurnau, 95349, DE",3278,Biochar Carbon Removal (BCR)
